id,name,area,keywords,hitosara_url,homepage_url,exception,memo
1,"バー＆カフェ　カメリア","丸の内","バー・カクテル 洋食 居酒屋",https://hitosara.com/0006085891/,http://www.tokyostationhotel.jp/restaurants/camellia/,"",""
2,"バー＆ラウンジ　トゥエンティエイト","新橋/汐留","カフェ バー・カクテル 喫茶",https://hitosara.com/0004023729/,http://www.conradtokyo.co.jp/twentyeight/,"",""
3,"鉄板焼き&バー CRAVE","西新井","お好み焼き・もんじゃ ダーツバー 鉄板焼き",https://hitosara.com/0020006344/,"","",""
4,"オイスターバー&ワイン　BELON広尾店","広尾","イタリアン オイスターバー ワインバー",https://hitosara.com/0031664184/,https://www.oysterbar-tokyo.co.jp,"",""
5,"くさやバー","池袋東口/東池袋","バー・カクテル 焼酎バー 和食",https://hitosara.com/0006114865/,"","",""
6,"イタリアンダイニング＆バー　エルデ","西新宿","イタリアン ビアバー パーティー",https://hitosara.com/0006141463/,https://italian-erde.jp,"",""
7,"ザ　コークスクリュー　バー＆グリル","大手町","ダイニングバー 居酒屋 ワインバー",https://hitosara.com/0020002399/,"","",""
8,"レストランアピシウス","有楽町/日比谷","フレンチ バー・カクテル",https://hitosara.com/0006052076/,http://www.apicius.co.jp/index.html,"",""
9,"和酒バー　庫裏","銀座","焼酎バー 居酒屋",https://hitosara.com/0006029852/,"","",""
10,"ラウンジ＆バー卑弥呼","赤坂","バー・カクテル",https://hitosara.com/0003018287/,"","",""
11,"Cafe & Bar Lounge Celecroix/ホテル ザ セレスティン東京芝","田町/三田","カフェ バー・カクテル スイーツ",https://hitosara.com/0020001942/,https://www.celestinehotels.jp/tokyo-shiba/restaurant/,"",""
12,"BAR　Tarrow’s","神楽坂","バー・カクテル シガーバー スイーツ",https://hitosara.com/0006114772/,http://www.facebook.com/Bar-Tarrows-740299129493919/,"",""
13,"アペロワインバー","表参道/青山","ワインバー ダイニングバー ビストロ",https://hitosara.com/0011000364/,https://apero.co.jp/,"",""
14,"新橋シーシャ バー&ラウンジ 遊煙地 (ユウエンチ)","新橋/汐留","バー・カクテル ダイニングバー シガーバー",https://hitosara.com/0004037740/,https://www.yuenchishisha.com/,"",""
15,"バー カプリ","永田町","バー・カクテル",https://hitosara.com/0031074721/,http://www.newotani.co.jp/tokyo/restaurant/capri/index.html,"",""
16,"ダイニングバー工藤","新橋/汐留","ダイニングバー バー・カクテル バル",https://hitosara.com/0006123117/,"","",""
17,theBAR,"お台場","バー・カクテル パーティー ダイニングバー",https://hitosara.com/0020006159/,https://www.the-bar.tokyo/,"",""
18,INSIGNIA,"恵比寿","バー・カクテル 創作料理 ワインバー",https://hitosara.com/0006097202/,http://evanwilliams12.wixsite.com/insignia,"",""
19,"バー リーフ","神楽坂","バー・カクテル",https://hitosara.com/0030000045/,"","",""
20,"wine bar vitis","不動前/武蔵小山","ワインバー スタンディングバー ダイニングバー",https://hitosara.com/0020007818/,"","",""
21,"神楽坂 Wine Music Bar Fuga","神楽坂","ワインバー アミューズメント・バー ビアバー",https://hitosara.com/0031551171/,"","",""
22,"ルーフトップ バー","虎ノ門","バー・カクテル",https://hitosara.com/0031249496/,https://www.andaztokyo.jp/restaurants/jp/,"",""
23,"メインバー あさま","品川","バー・カクテル",https://hitosara.com/0031030820/,https://www.princehotels.co.jp/shintakanawa/restaurant/asama/,"",""
24,"オイスターバー＆ワイン　BELON　銀座","銀座","オイスターバー イタリアン ワインバー",https://hitosara.com/0006081352/,http://www.oysterbar-tokyo.co.jp/contents/shop-info/ginza/,"",""
25,"BREEZE　OF　TOKYO","丸の内","フレンチ ワインバー バー・カクテル",https://hitosara.com/0006126224/,"","",""
26,"エグゼクティブ・バー「ザ・バー」","恵比寿","バー・カクテル カフェ",https://hitosara.com/0003023314/,http://www.westin-tokyo.co.jp/restaurant/thebar/,"",""
27,"ラウンジバー プリヴェ","丸の内","バー・カクテル",https://hitosara.com/0031202789/,https://www.palacehoteltokyo.com/restaurant/lounge-bar-prive/,"",""
28,"BAR　Arca","新宿三丁目","バー・カクテル ダイニングバー パーティー",https://hitosara.com/0006146176/,"","",""
29,"ダーツバー　LOSCABOS　サン・ホセ・デルカボ　池袋店","池袋西口","ダーツバー バー・カクテル パーティー",https://hitosara.com/0004011453/,http://www.loscabo.com,"",""
30,"XEX ATAGO GREEN HILLS / The BAR","神谷町","バー・カクテル ワインバー パーティー",https://hitosara.com/0020004125/,http://www.xexgroup.jp/atago,"",""
31,"東京會舘 メインバー","有楽町/日比谷","バー・カクテル",https://hitosara.com/0031269012/,https://www.kaikan.co.jp/restaurant/mainbar/index.html,"",""
32,"MUMPAK BAR","湯島","タイ・ベトナム料理 創作料理 バー・カクテル",https://hitosara.com/0004038016/,"","",""
33,"FlyingBumblebee　フライング　バンブルビー","代官山","バー・カクテル ワインバー ダイニングバー",https://hitosara.com/0004043921/,"","",""
34,"メインバー　「ル・マーキー」","護国寺","ダイニングバー バー・カクテル",https://hitosara.com/0003004002/,http://hotel-chinzanso-tokyo.jp/,"",""
35,"CRAFT　COCKTAIL　TOKYO","池袋西口","バー・カクテル アミューズメント・バー スイーツ",https://hitosara.com/0004045920/,"","",""
36,"バーラウンジ スターライト","神谷町","バー・カクテル",https://hitosara.com/0031428399/,https://theokuratokyo.jp,"",""
37,"IL LUPINO PRIME TOKYO","表参道/青山","イタリアン ステーキ ワインバー",https://hitosara.com/0033000064/,https://illupinojapan.jp,"",""
38,"銀座フレンチ＆ワインバー　地球星","銀座","フレンチ ワインバー パーティー",https://hitosara.com/0004030685/,"","",""
39,"ミクソロジー バー ソース 2102","麻布十番","バー・カクテル",https://hitosara.com/0031224334/,https://barsource2102.com/,"",""
40,"Dining＆Bar　Tree","浅草橋","バー・カクテル カラオケ ダイニングバー",https://hitosara.com/0004037486/,"","",""
41,"La　maison　du　caviar　17℃","新橋/汐留","フレンチ バー・カクテル ワインバー",https://hitosara.com/0006121836/,http://caviar-ginza.com/,"",""
42,"bar＆chocolateCACAOTAIL","門前仲町","バー・カクテル",https://hitosara.com/0006139669/,"","",""
43,LOW-NON-BAR,"神田","バー・カクテル ビストロ ダイニングバー",https://hitosara.com/0006136865/,https://cocktailworks001.wixsite.com/lownonbar,"",""
44,"バー　シープ　テイル","市ヶ谷","バー・カクテル",https://hitosara.com/0032033024/,"","",""
45,"WineBar Pluribus","銀座","ワインバー イタリアン ダイニングバー",https://hitosara.com/0020006274/,https://winebarpluribus.net,"",""
46,"メインバー「キャプテンズバー」 ヒルトン東京お台場","お台場","バー・カクテル",https://hitosara.com/0031047044/,http://hiltonodaiba.jp/restaurants/captains_bar,"",""
47,"ブルーノート東京","表参道/青山","フレンチ バー・カクテル イタリアン",https://hitosara.com/0006108899/,http://www.bluenote.co.jp/jp/,"",""
48,"Bar Lumiere 恵比寿 Whisky＆Cocktail","恵比寿","バー・カクテル",https://hitosara.com/0031306550/,"","",""
49,"Bar Baron 渋谷 ~whisky&cocktail~","道玄坂/神泉","バー・カクテル シガーバー ダイニングバー",https://hitosara.com/0020003960/,"","",""
50,RUSTEAKS,"広尾","ステーキ フレンチ ワインバー",https://hitosara.com/0006081234/,http://rusteaks.jp/,"",""
51,"BAR＆DINING　KAZEMACHI","人形町/小伝馬町","バー・カクテル バル ワインバー",https://hitosara.com/0008100134/,https://kazemachikayabacho.owst.jp/,"",""
52,"M BAR","白金/白金台","バー・カクテル シガーバー",https://hitosara.com/0020003853/,https://www.miyakohotels.ne.jp/tokyo/restaurant/mbar/,"",""
53,BARGATE,"新橋/汐留","ダイニングバー バー・カクテル パーティー",https://hitosara.com/0006071774/,"","",""
54,"レインボーブリッジビューダイニング＆シャンパンバー マンハッタン","浜松町/大門","フレンチ バー・カクテル カフェ",https://hitosara.com/0034000381/,https://www.interconti-tokyo.com/restaurant/manhattan/,"",""
55,"BAR ARAKU","新宿東口/歌舞伎町","バー・カクテル",https://hitosara.com/0011000032/,"","",""
56,"Ironbark Grill & Bar (アイアンバーク グリルアンドバー)","銀座","ダイニングバー 洋食 バー・カクテル",https://hitosara.com/0006101740/,http://ginza6.tokyo/shops/1221,"",""
57,"Bar　Winny","道玄坂/神泉","バー・カクテル ワインバー ダイニングバー",https://hitosara.com/0006099934/,"","",""
58,"BAR　27番地","大塚","バー・カクテル",https://hitosara.com/0006031920/,"","",""
59,"新宿クラフトビール　BEER BOMB","西新宿","居酒屋 ビアホール・ビアレストラン ビアバー",https://hitosara.com/0020002784/,"","",""
60,"バーバー バー カリンバー","赤羽","バー・カクテル",https://hitosara.com/0031356914/,"","",""
61,"BAR　木蓮","笹塚","バー・カクテル ダイニングバー",https://hitosara.com/0006134641/,"","",""
62,"バー イングリッシュ ハーバー","錦糸町/住吉","バー・カクテル",https://hitosara.com/0031420748/,"","",""
63,"日本酒割烹&BAR 聚","築地","日本酒バー 創作和食 そば",https://hitosara.com/0020007125/,"","",""
64,"BAR ALMON","西麻布","バー・カクテル ダイニングバー カラオケ",https://hitosara.com/0031539889/,"","",""
65,"Bar　Silver　Hearts","銀座","バー・カクテル",https://hitosara.com/0006023808/,"","",""
66,"Restaurant＆DartsBarCONNECT","両国/菊川","洋食 ダーツバー バー・カクテル",https://hitosara.com/0006077055/,"","",""
67,"バー　リバイバー","神楽坂","バー・カクテル",https://hitosara.com/0031182969/,"","",""
68,"頭バー","道玄坂/神泉","バー・カクテル",https://hitosara.com/0031423285/,"","",""
69,"ル・バー","白金/白金台","バー・カクテル",https://hitosara.com/0031063306/,"","",""
70,"ザ・バー","小石川","バー・カクテル",https://hitosara.com/0031338814/,"","",""
71,"ザ・バー","六本木","バー・カクテル",https://hitosara.com/0031422998/,"","",""
72,"バー・ネバーランド","自由が丘","バー・カクテル",https://hitosara.com/0031065185/,"","",""
73,"ラグジュアリー・スタンド・ミラスバー＆カフェ渋谷","渋谷センター街/公園通り","バー・カクテル ダイニングバー",https://hitosara.com/0020000608/,https://lux-g.com/stand-milas-shibuya/ja/,"",""
74,"SAKABA　SOU　ーDining・Barー","自由が丘","ダイニングバー ビストロ バー・カクテル",https://hitosara.com/0004037729/,https://sakaba-sou.com/,"",""
75,"バー バンダバーグ","赤羽","バー・カクテル",https://hitosara.com/0031231840/,"","",""
76,"LITTS　BAR　&　GRILL　渋谷店","渋谷センター街/公園通り","バー・カクテル イタリアン パスタ・ピザ",https://hitosara.com/0020002547/,"","",""
77,"AZURE BAR／Restaurant","麻布十番","イタリアン パスタ・ピザ バー・カクテル",https://hitosara.com/0020001010/,"","",""
78,"ロコバー","錦糸町/住吉","バー・カクテル",https://hitosara.com/0031042699/,"","",""
79,"バー・ソラ","池袋東口/東池袋","バー・カクテル",https://hitosara.com/0031044273/,"","",""
80,"ハコ　バー","高円寺/阿佐ヶ谷","ワインバー",https://hitosara.com/0031248921/,"","",""
81,"バー ミズ","渋谷東口/宮益坂","バー・カクテル",https://hitosara.com/0031263106/,"","",""
82,"バー レイ","月島","バー・カクテル",https://hitosara.com/0031269077/,"","",""
83,"バー ムゥ","豪徳寺/経堂","バー・カクテル",https://hitosara.com/0031269079/,"","",""
84,"バー サル","飯田橋","バー・カクテル",https://hitosara.com/0031396572/,"","",""
85,"バー ソノ","新宿御苑周辺","バー・カクテル",https://hitosara.com/0031429961/,"","",""
86,"バババー","高田馬場","バー・カクテル",https://hitosara.com/0031537623/,"","",""
87,"バー ググ","高井戸","バー・カクテル",https://hitosara.com/0031595067/,"","",""
88,"バー オム","新橋/汐留","バー・カクテル",https://hitosara.com/0031650319/,"","",""
89,"トチ・バー","新橋/汐留","バー・カクテル",https://hitosara.com/0031026304/,"","",""
90,"ミウ バー","笹塚","バー・カクテル",https://hitosara.com/0031122228/,"","",""
91,"バー ネズ","日暮里","バー・カクテル",https://hitosara.com/0031210113/,"","",""
92,"キソ バー","西麻布","バー・カクテル",https://hitosara.com/0031290233/,"","",""
93,"バー ゴヤ","銀座","バー・カクテル",https://hitosara.com/0031347568/,"","",""
94,"バー レイ","人形町/小伝馬町","バー・カクテル",https://hitosara.com/0031350517/,"","",""
95,"バー シバ","目黒","バー・カクテル",https://hitosara.com/0031535714/,"","",""
96,"カズバー","池袋西口","バー・カクテル",https://hitosara.com/0031541959/,"","",""
97,"バー ギフ","浅草","バー・カクテル",https://hitosara.com/0031568571/,"","",""
98,"バー・ジズ","中目黒","バー・カクテル",https://hitosara.com/0031592168/,"","",""
99,"TWO　ROOMS　GRILL　BAR","表参道/青山","洋食 ダイニングバー バー・カクテル",https://hitosara.com/0006123302/,http://www.tworooms.jp,"",""
100,"バー夜警","池袋東口/東池袋","バー・カクテル",https://hitosara.com/0032004997/,"","",""
101,"坊主バー","四谷","バー・カクテル",https://hitosara.com/0031019776/,"","",""
102,"バー ジャダ","西麻布","バー・カクテル",https://hitosara.com/0031046628/,"","",""
103,"スリーバー","新宿南口/代々木","バー・カクテル",https://hitosara.com/0031062680/,"","",""
104,"バー・リオン","中目黒","バー・カクテル",https://hitosara.com/0031062931/,"","",""
105,"バー レイジ","広尾","バー・カクテル",https://hitosara.com/0031063249/,"","",""
106,"バー フラウ","六本木","バー・カクテル",https://hitosara.com/0031072113/,"","",""
107,"バー ライズ","恵比寿","バー・カクテル",https://hitosara.com/0031115289/,"","",""
108,"バー ノマド","錦糸町/住吉","バー・カクテル",https://hitosara.com/0031127937/,"","",""
109,"バー ピエロ","北千住","バー・カクテル",https://hitosara.com/0031129107/,"","",""
110,"ヒロズ バー","六本木","バー・カクテル",https://hitosara.com/0031129694/,"","",""
111,"バー パウザ","三軒茶屋","バー・カクテル",https://hitosara.com/0031168560/,"","",""
112,"バー ソーマ","成増","バー・カクテル",https://hitosara.com/0031169078/,"","",""
113,"バー ボンゾ","両国/菊川","バー・カクテル",https://hitosara.com/0031171275/,"","",""
114,"バー アガミ","新小岩","バー・カクテル",https://hitosara.com/0031180874/,"","",""
115,"バー ダイス","銀座","バー・カクテル",https://hitosara.com/0031188981/,"","",""
116,"バーウィズ","白金/白金台","バー・カクテル",https://hitosara.com/0031222985/,"","",""
117,"バー マルコ","亀有/青砥","バー・カクテル",https://hitosara.com/0031230397/,"","",""
118,"バー シンク","恵比寿","バー・カクテル",https://hitosara.com/0031232216/,"","",""
119,"バー クオレ","表参道/青山","バー・カクテル",https://hitosara.com/0031236977/,"","",""
120,"バー パドレ","蒲田","バー・カクテル",https://hitosara.com/0031257742/,"","",""
121,"バー ドーヴ","目黒","バー・カクテル",https://hitosara.com/0031265998/,"","",""
122,"バー ライフ","亀戸","バー・カクテル",https://hitosara.com/0031266013/,"","",""
123,"バー オコゼ","目黒","バー・カクテル",https://hitosara.com/0031266852/,"","",""
124,"バースリー","門前仲町","バー・カクテル",https://hitosara.com/0031271071/,"","",""
125,"バー アエス","駒込","バー・カクテル",https://hitosara.com/0031279902/,"","",""
126,"バー マトメ","恵比寿","バー・カクテル",https://hitosara.com/0031279924/,"","",""
127,"バー リムー","銀座","バー・カクテル",https://hitosara.com/0031286901/,"","",""
128,"バー ホシノ","人形町/小伝馬町","バー・カクテル",https://hitosara.com/0031293316/,"","",""
129,"バー ルイズ","大塚","バー・カクテル",https://hitosara.com/0031304753/,"","",""
130,"スタア バー","有楽町/日比谷","バー・カクテル",https://hitosara.com/0031351711/,"","",""
