id,name,area,keywords,hitosara_url,homepage_url,exception,memo
2,バー＆ラウンジ　トゥエンティエイト,新橋/汐留,カフェ バー・カクテル 喫茶,https://hitosara.com/0004023729/,http://www.conradtokyo.co.jp/twentyeight/,,
4,オイスターバー&ワイン　BELON広尾店,広尾,イタリアン オイスターバー ワインバー,https://hitosara.com/0031664184/,https://www.oysterbar-tokyo.co.jp,,
5,くさやバー,池袋東口/東池袋,バー・カクテル 焼酎バー 和食,https://hitosara.com/0006114865/,,,
6,イタリアンダイニング＆バー　エルデ,西新宿,イタリアン ビアバー パーティー,https://hitosara.com/0006141463/,https://italian-erde.jp,,
9,和酒バー　庫裏,銀座,焼酎バー 居酒屋,https://hitosara.com/0006029852/,,,
10,ラウンジ＆バー卑弥呼,赤坂,バー・カクテル,https://hitosara.com/0003018287/,,,
12,BAR　Tarrow’s,神楽坂,バー・カクテル シガーバー スイーツ,https://hitosara.com/0006114772/,http://www.facebook.com/Bar-Tarrows-740299129493919/,,
13,アペロワインバー,表参道/青山,ワインバー ダイニングバー ビストロ,https://hitosara.com/0011000364/,https://apero.co.jp/,,
16,ダイニングバー工藤,新橋/汐留,ダイニングバー バー・カクテル バル,https://hitosara.com/0006123117/,,,
22,ルーフトップ バー,虎ノ門,バー・カクテル,https://hitosara.com/0031249496/,https://www.andaztokyo.jp/restaurants/jp/,,
24,オイスターバー＆ワイン　BELON　銀座,銀座,オイスターバー イタリアン ワインバー,https://hitosara.com/0006081352/,http://www.oysterbar-tokyo.co.jp/contents/shop-info/ginza/,,
26,エグゼクティブ・バー「ザ・バー」,恵比寿,バー・カクテル カフェ,https://hitosara.com/0003023314/,http://www.westin-tokyo.co.jp/restaurant/thebar/,,
27,ラウンジバー プリヴェ,丸の内,バー・カクテル,https://hitosara.com/0031202789/,https://www.palacehoteltokyo.com/restaurant/lounge-bar-prive/,,
29,ダーツバー　LOSCABOS　サン・ホセ・デルカボ　池袋店,池袋西口,ダーツバー バー・カクテル パーティー,https://hitosara.com/0004011453/,http://www.loscabo.com,,
30,XEX ATAGO GREEN HILLS / The BAR,神谷町,バー・カクテル ワインバー パーティー,https://hitosara.com/0020004125/,http://www.xexgroup.jp/atago,,
32,MUMPAK BAR,湯島,タイ・ベトナム料理 創作料理 バー・カクテル,https://hitosara.com/0004038016/,,,
34,メインバー　「ル・マーキー」,護国寺,ダイニングバー バー・カクテル,https://hitosara.com/0003004002/,http://hotel-chinzanso-tokyo.jp/,,
35,CRAFT　COCKTAIL　TOKYO,池袋西口,バー・カクテル アミューズメント・バー スイーツ,https://hitosara.com/0004045920/,,,
37,IL LUPINO PRIME TOKYO,表参道/青山,イタリアン ステーキ ワインバー,https://hitosara.com/0033000064/,https://illupinojapan.jp,,
39,ミクソロジー バー ソース 2102,麻布十番,バー・カクテル,https://hitosara.com/0031224334/,https://barsource2102.com/,,
40,Dining＆Bar　Tree,浅草橋,バー・カクテル カラオケ ダイニングバー,https://hitosara.com/0004037486/,,,
41,La　maison　du　caviar　17℃,新橋/汐留,フレンチ バー・カクテル ワインバー,https://hitosara.com/0006121836/,http://caviar-ginza.com/,,
42,bar＆chocolateCACAOTAIL,門前仲町,バー・カクテル,https://hitosara.com/0006139669/,,,
44,バー　シープ　テイル,市ヶ谷,バー・カクテル,https://hitosara.com/0032033024/,,,
46,メインバー「キャプテンズバー」 ヒルトン東京お台場,お台場,バー・カクテル,https://hitosara.com/0031047044/,http://hiltonodaiba.jp/restaurants/captains_bar,,
49,Bar Baron 渋谷 ~whisky&cocktail~,道玄坂/神泉,バー・カクテル シガーバー ダイニングバー,https://hitosara.com/0020003960/,,,
50,RUSTEAKS,広尾,ステーキ フレンチ ワインバー,https://hitosara.com/0006081234/,http://rusteaks.jp/,,
51,BAR＆DINING　KAZEMACHI,人形町/小伝馬町,バー・カクテル バル ワインバー,https://hitosara.com/0008100134/,https://kazemachikayabacho.owst.jp/,,
52,M BAR,白金/白金台,バー・カクテル シガーバー,https://hitosara.com/0020003853/,https://www.miyakohotels.ne.jp/tokyo/restaurant/mbar/,,
53,BARGATE,新橋/汐留,ダイニングバー バー・カクテル パーティー,https://hitosara.com/0006071774/,,,
54,レインボーブリッジビューダイニング＆シャンパンバー マンハッタン,浜松町/大門,フレンチ バー・カクテル カフェ,https://hitosara.com/0034000381/,https://www.interconti-tokyo.com/restaurant/manhattan/,,
55,BAR ARAKU,新宿東口/歌舞伎町,バー・カクテル,https://hitosara.com/0011000032/,,,
57,Bar　Winny,道玄坂/神泉,バー・カクテル ワインバー ダイニングバー,https://hitosara.com/0006099934/,,,
58,BAR　27番地,大塚,バー・カクテル,https://hitosara.com/0006031920/,,,
59,新宿クラフトビール　BEER BOMB,西新宿,居酒屋 ビアホール・ビアレストラン ビアバー,https://hitosara.com/0020002784/,,,
62,バー イングリッシュ ハーバー,錦糸町/住吉,バー・カクテル,https://hitosara.com/0031420748/,,,
63,日本酒割烹&BAR 聚,築地,日本酒バー 創作和食 そば,https://hitosara.com/0020007125/,,,
66,Restaurant＆DartsBarCONNECT,両国/菊川,洋食 ダーツバー バー・カクテル,https://hitosara.com/0006077055/,,,
68,頭バー,道玄坂/神泉,バー・カクテル,https://hitosara.com/0031423285/,,,
69,ル・バー,白金/白金台,バー・カクテル,https://hitosara.com/0031063306/,,,
70,ザ・バー,小石川,バー・カクテル,https://hitosara.com/0031338814/,,,
71,ザ・バー,六本木,バー・カクテル,https://hitosara.com/0031422998/,,,
72,バー・ネバーランド,自由が丘,バー・カクテル,https://hitosara.com/0031065185/,,,
73,ラグジュアリー・スタンド・ミラスバー＆カフェ渋谷,渋谷センター街/公園通り,バー・カクテル ダイニングバー,https://hitosara.com/0020000608/,https://lux-g.com/stand-milas-shibuya/ja/,,
76,LITTS　BAR　&　GRILL　渋谷店,渋谷センター街/公園通り,バー・カクテル イタリアン パスタ・ピザ,https://hitosara.com/0020002547/,,,
78,ロコバー,錦糸町/住吉,バー・カクテル,https://hitosara.com/0031042699/,,,
79,バー・ソラ,池袋東口/東池袋,バー・カクテル,https://hitosara.com/0031044273/,,,
81,バー ミズ,渋谷東口/宮益坂,バー・カクテル,https://hitosara.com/0031263106/,,,
83,バー ムゥ,豪徳寺/経堂,バー・カクテル,https://hitosara.com/0031269079/,,,
87,バー ググ,高井戸,バー・カクテル,https://hitosara.com/0031595067/,,,
88,バー オム,新橋/汐留,バー・カクテル,https://hitosara.com/0031650319/,,,
89,トチ・バー,新橋/汐留,バー・カクテル,https://hitosara.com/0031026304/,,,
90,ミウ バー,笹塚,バー・カクテル,https://hitosara.com/0031122228/,,,
92,キソ バー,西麻布,バー・カクテル,https://hitosara.com/0031290233/,,,
94,バー レイ,人形町/小伝馬町,バー・カクテル,https://hitosara.com/0031350517/,,,
95,バー シバ,目黒,バー・カクテル,https://hitosara.com/0031535714/,,,
96,カズバー,池袋西口,バー・カクテル,https://hitosara.com/0031541959/,,,
98,バー・ジズ,中目黒,バー・カクテル,https://hitosara.com/0031592168/,,,
100,バー夜警,池袋東口/東池袋,バー・カクテル,https://hitosara.com/0032004997/,,,
102,バー ジャダ,西麻布,バー・カクテル,https://hitosara.com/0031046628/,,,
103,スリーバー,新宿南口/代々木,バー・カクテル,https://hitosara.com/0031062680/,,,
104,バー・リオン,中目黒,バー・カクテル,https://hitosara.com/0031062931/,,,
108,バー ノマド,錦糸町/住吉,バー・カクテル,https://hitosara.com/0031127937/,,,
109,バー ピエロ,北千住,バー・カクテル,https://hitosara.com/0031129107/,,,
110,ヒロズ バー,六本木,バー・カクテル,https://hitosara.com/0031129694/,,,
112,バー ソーマ,成増,バー・カクテル,https://hitosara.com/0031169078/,,,
113,バー ボンゾ,両国/菊川,バー・カクテル,https://hitosara.com/0031171275/,,,
116,バーウィズ,白金/白金台,バー・カクテル,https://hitosara.com/0031222985/,,,
117,バー マルコ,亀有/青砥,バー・カクテル,https://hitosara.com/0031230397/,,,
118,バー シンク,恵比寿,バー・カクテル,https://hitosara.com/0031232216/,,,
122,バー ライフ,亀戸,バー・カクテル,https://hitosara.com/0031266013/,,,
124,バースリー,門前仲町,バー・カクテル,https://hitosara.com/0031271071/,,,
125,バー アエス,駒込,バー・カクテル,https://hitosara.com/0031279902/,,,
132,パーク・バー,高井戸,バー・カクテル,https://hitosara.com/0031398419/,,,
133,バーピース,池袋東口/東池袋,バー・カクテル,https://hitosara.com/0031398436/,,,
140,アンドバー,町田,バー・カクテル,https://hitosara.com/0031425846/,,,
142,バー バルバ,新橋/汐留,バー・カクテル,https://hitosara.com/0031430926/,,,
144,バー ササヤ,金町,バー・カクテル,https://hitosara.com/0031483982/,,,
146,バー タキビ,下北沢,バー・カクテル,https://hitosara.com/0031553886/,,,
147,バー トレス,二子玉川/用賀,バー・カクテル,https://hitosara.com/0031564320/,,,
148,バー メイズ,三軒茶屋,バー・カクテル,https://hitosara.com/0031570910/,,,
150,バー コレド,六本木,バー・カクテル,https://hitosara.com/0031594867/,,,
151,バーミモザ,新橋/汐留,バー・カクテル,https://hitosara.com/0031595098/,,,
153,バー エンヤ,荻窪,バー・カクテル,https://hitosara.com/0031596588/,,,
157,バナナバー,吉祥寺,バー・カクテル,https://hitosara.com/0031015046/,,,
158,バー カオス,吉祥寺,バー・カクテル,https://hitosara.com/0031019389/,,,
160,ムジナ・バー,代々木上原,バー・カクテル,https://hitosara.com/0031033502/,,,
161,グッドバー,日暮里,バー・カクテル,https://hitosara.com/0031036267/,,,
162,バー・エピセ,白金/白金台,バー・カクテル,https://hitosara.com/0031042710/,,,
163,バー・タイム,蒲田,バー・カクテル,https://hitosara.com/0031042899/,,,
164,バー・リベル,新宿南口/代々木,バー・カクテル,https://hitosara.com/0031068060/,,,
165,バー イリエ,道玄坂/神泉,バー・カクテル,https://hitosara.com/0031070188/,,,
166,オーク・バー,赤坂,バー・カクテル,https://hitosara.com/0031070202/,,,
167,ポートバー,立川,バー・カクテル,https://hitosara.com/0031074759/,,,
169,ハトス バー,中目黒,ビアバー,https://hitosara.com/0031086896/,,,
171,バーHAZZ,練馬,バー・カクテル,https://hitosara.com/0031128756/,,,
173,バーソーダ,月島,バー・カクテル,https://hitosara.com/0031193428/,,,
174,バーリンク,四谷,バー・カクテル,https://hitosara.com/0031195497/,,,
177,バールーツ,池上/洗足池,バー・カクテル,https://hitosara.com/0031255909/,,,
179,トーチ バー,新宿御苑周辺,バー・カクテル,https://hitosara.com/0031273816/,,,
181,バー ラマリ,高円寺/阿佐ヶ谷,バー・カクテル,https://hitosara.com/0031285304/,,,
182,ドゥー バー,銀座,バー・カクテル,https://hitosara.com/0031301768/,,,
183,バー サラカ,新宿南口/代々木,バー・カクテル,https://hitosara.com/0031308527/,,,
184,マンボ バー,新宿三丁目,バー・カクテル,https://hitosara.com/0031310957/,,,
186,シガズ バー,日本橋,バー・カクテル,https://hitosara.com/0031340754/,,,
187,バー サンク,伊豆諸島/小笠原諸島,バー・カクテル,https://hitosara.com/0031340755/,,,
189,バー・バッジ,明大前,バー・カクテル,https://hitosara.com/0031390067/,,,
190,バー ゴーン,目黒,バー・カクテル,https://hitosara.com/0031423881/,,,
191,バー・ドレス,四谷,バー・カクテル,https://hitosara.com/0031431700/,,,
193,バー ワヲン,池袋西口,バー・カクテル,https://hitosara.com/0031527529/,,,
196,バー レッド,池尻大橋/三宿,バー・カクテル,https://hitosara.com/0031599052/,,,
197,ジャヌ バー,麻布十番,バー・カクテル,https://hitosara.com/0031679877/,,,
198,FLAIR＆DINER　S－PARK （フレア＆ダイナー　エスパーク）,吉祥寺,ダイニングバー バー・カクテル パーティー,https://hitosara.com/0006100585/,http://www.flairbar-s-park.jp,,
199,BAR FIVE Arrows,新宿西口/都庁前,バー・カクテル ダイニングバー,https://hitosara.com/0020003778/,https://booking.ebica.jp/webrsv/search/e020068701/27969?isfixshop=true,,
200,バー オーパスナンバーワン,新橋/汐留,バー・カクテル,https://hitosara.com/0031049274/,,,
201,BAR　Recette,銀座,ダイニングバー バー・カクテル 軽食・その他グルメ,https://hitosara.com/0006075413/,http://recetteginza.wix.com/ginza-bar-recette,,
202,ドラゴンバー,府中,バー・カクテル,https://hitosara.com/0032005319/,,,
203,バー・トラック,恵比寿,バー・カクテル,https://hitosara.com/0031009278/,,,
204,バー・エバンス,築地,バー・カクテル,https://hitosara.com/0031062937/,,,
205,バー ハリーズ,明大前,バー・カクテル,https://hitosara.com/0031064698/,,,
206,バー クルーズ,蒲田,バー・カクテル,https://hitosara.com/0031171307/,,,
207,バー グルーム,田町/三田,ワインバー,https://hitosara.com/0031172454/,,,
208,フラットバー,三軒茶屋,ビアバー,https://hitosara.com/0031180872/,,,
209,バー クレヨン,伊豆諸島/小笠原諸島,バー・カクテル,https://hitosara.com/0031182131/,,,
210,バー シナプス,板橋,バー・カクテル,https://hitosara.com/0031201370/,,,
211,ロイヤル バー,丸の内,バー・カクテル,https://hitosara.com/0031202787/,,,
212,バー タバッキ,下北沢,バー・カクテル,https://hitosara.com/0031212361/,,,
213,バー ヴェイユ,大森,バー・カクテル,https://hitosara.com/0031227677/,,,
214,バー スランジ,錦糸町/住吉,バー・カクテル,https://hitosara.com/0031229951/,,,
215,バー アッコラ,新宿三丁目,バー・カクテル,https://hitosara.com/0031253850/,,,
216,バー シェイク,新橋/汐留,バー・カクテル,https://hitosara.com/0031258935/,,,
217,バー カエルム,新橋/汐留,バー・カクテル,https://hitosara.com/0031265992/,,,
218,バー カプリス,道玄坂/神泉,バー・カクテル,https://hitosara.com/0031270330/,,,
219,バー・ロカイユ,渋谷センター街/公園通り,バー・カクテル,https://hitosara.com/0031278349/,,,
220,バー バリスタ,池尻大橋/三宿,バー・カクテル,https://hitosara.com/0031280529/,,,
221,バー ティアモ,目黒,バー・カクテル,https://hitosara.com/0031284726/,,,
222,バー レガシー,渋谷南口,バー・カクテル,https://hitosara.com/0031292103/,,,
223,バー フォート,吉祥寺,バー・カクテル,https://hitosara.com/0031292434/,,,
224,ちょっとバー,不動前/武蔵小山,バー・カクテル,https://hitosara.com/0031296171/,,,
225,バー ラゾット,上野,バー・カクテル,https://hitosara.com/0031308040/,,,
226,バーカササギ,新宿三丁目,バー・カクテル,https://hitosara.com/0031309515/,,,
227,バー ラーマン,赤坂,バー・カクテル,https://hitosara.com/0031309566/,,,
228,バー ポラリス,町田,バー・カクテル,https://hitosara.com/0031310977/,,,
229,バー ドウシェ,新橋/汐留,バー・カクテル,https://hitosara.com/0031346196/,,,
230,バー モンロー,赤羽,バー・カクテル,https://hitosara.com/0031358479/,,,
231,バーセキレイ,秋葉原,バー・カクテル,https://hitosara.com/0031385182/,,,
232,バー・スティル,吉祥寺,バー・カクテル,https://hitosara.com/0031396570/,,,
233,バー ネクスト,町田,バー・カクテル,https://hitosara.com/0031426747/,,,
234,バー クチータ,池袋東口/東池袋,バー・カクテル,https://hitosara.com/0031524369/,,,
235,バー パレット,喜多見/狛江,バー・カクテル,https://hitosara.com/0031544013/,,,
236,バー ソムニオ,荻窪,バー・カクテル,https://hitosara.com/0031544046/,,,
237,バー クオリア,人形町/小伝馬町,バー・カクテル,https://hitosara.com/0031555874/,,,
238,バー アッシュ,中野,バー・カクテル,https://hitosara.com/0031558897/,,,
239,バー ベーシス,青梅/小作,バー・カクテル,https://hitosara.com/0031568389/,,,
240,バー 月光,二子玉川/用賀,バー・カクテル,https://hitosara.com/0031594446/,,,
241,バー ドライブ,八王子,バー・カクテル,https://hitosara.com/0031595016/,,,
